coffee_bean_id,country_of_origin,expiration,region,harvest_year,variety,species_id,method_id
0383,Colombia,February 21st  2013,huila,2012,Caturra,0001,0001
0384,Colombia,February 8th  2013,la plata,2012,Caturra,0001,0001
0385,Colombia,June 13th  2012,huila,2011,NA,0001,0002
0386,Colombia,February 22nd  2012,cauca,2010,NA,0001,0002
0387,Colombia,January 17th  2012,cundinamarca,2010,NA,0001,0002
0388,Guatemala,August 24th  2018,oriente,2017,Bourbon,0001,0001
0389,Tanzania  United Republic Of,June 20th  2018,moshi,2016,Bourbon,0001,0001
0390,Peru,June 16th  2018,NA,2017,NA,0001,0002
0391,Vietnam,May 8th  2018,dala,2017,Catimor,0001,0003
0392,Honduras,May 2nd  2017,marcala,2016,Catuai,0001,0001
0393,China,April 5th  2017,dehong prefecture,2015,Catimor,0001,0001
0394,El Salvador,March 29th  2017,apaneca,2016,Bourbon,0001,0001
0395,Guatemala,October 28th  2016,antigua,2015,Bourbon,0001,0001
0396,Guatemala,September 28th  2016,oriente,2015,Bourbon,0001,0001
0397,Kenya,July 2nd  2016,kenya,2014,SL28,0001,0001
0398,Tanzania  United Republic Of,December 12th  2015,mbinga,2014,Other,0001,0001
0399,Uganda,October 28th  2015,eastern,2014,SL14,0001,0001
0400,Colombia,August 25th  2015,NA,2014,NA,0001,0001
0401,Honduras,April 12th  2015,san marcos,2013,Catuai,0001,0003
0402,Guatemala,March 27th  2015,san marcos,2014,Catuai,0001,0001
0403,United States (Hawaii),February 7th  2015,kona,2013,Hawaiian Kona,0001,0003
0404,Tanzania  United Republic Of,January 31st  2015,kilimanjaro,2014,Bourbon,0001,0001
0405,Mexico,March 29th  2014,chiapas,2013,Typica,0001,0001
0406,Mexico,September 27th  2013,tlanchinol  hidalgo,2012,Typica,0001,0001
0407,Mexico,September 27th  2013,san bartolo tutotepec,2012,Pacamara,0001,0001
0408,Mexico,July 11th  2013,san isidro,2012,Typica,0001,0001
0409,Colombia,June 8th  2013,huila,2012,Caturra,0001,0001
0410,Brazil,March 19th  2013,south of minas,2012,Mundo Novo,0001,0003
0411,Brazil,February 16th  2013,mogiana,2012,Mundo Novo,0001,0003
0412,Brazil,December 2nd  2012,south of minas,2011,Mundo Novo,0001,0005
0413,Ethiopia,June 16th  2011,limu,,NA,0001,0002
0414,Colombia,January 10th  2018,huila,2016,Caturra,0001,0001
0415,Brazil,April 25th  2017,south of minas,2015,Yellow Bourbon,0001,0004
0416,Taiwan,May 18th  2016,dongshan dist.  tainan city 臺南市東山區,2015,Typica,0001,0003
0417,Brazil,April 19th  2016,chapadão de ferro (cerrado mineiro),2015,Mundo Novo,0001,0003
0418,Brazil,October 16th  2015,south of minas,2014,Bourbon,0001,0001
0419,Costa Rica,July 15th  2015,central valley,2014,Catuai,0001,0001
0420,United States (Hawaii),February 19th  2015,kona,2013,Hawaiian Kona,0001,0003
0421,Taiwan,December 26th  2014,chiayi alishan 嘉義縣阿里山鄉,2013,Typica,0001,0006
0422,United States (Hawaii),March 8th  2014,kona,2012,Hawaiian Kona,0001,0003
0423,Mexico,June 6th  2013,santa catarina juquila,2012,Other,0001,0001
0424,United States (Hawaii),February 22nd  2013,kona,2012,Hawaiian Kona,0001,0001
0425,Colombia,July 28th  2012,huila,,Caturra,0001,0002
0426,Indonesia,November 29th  2011,dolok sanggul,2010,NA,0001,0002
0427,Guatemala,November 11th  2011,NA,NA,NA,0001,0002
0428,Uganda,July 18th  2017,kasese  mt. rwenzori,2015,Bourbon,0001,0001
0429,Uganda,July 18th  2017,kasese  mt. rwenzori,2015,Bourbon,0001,0003
0430,Vietnam,December 27th  2016,vietnam cau dat,2014,Caturra,0001,0006
0431,Guatemala,July 7th  2016,nuevo oriente,2015,Catuai,0001,0001
0432,Guatemala,June 4th  2016,el tumbador  san marcos,2015,Catuai,0001,0001
0433,Guatemala,April 22nd  2016,antigua,2015,Bourbon,0001,0001
0434,Brazil,February 13th  2016,high mogiana,2014,Catuai,0001,0003
0435,Taiwan,November 23rd  2015,嘉義阿里山,2014,Typica,0001,0001
0436,Guatemala,March 7th  2015,antigua,2014,Bourbon,0001,0001
0437,Brazil,January 2nd  2015,sul de minas,2013,Yellow Bourbon,0001,0005
0438,Colombia,November 7th  2014,huila,2013,Caturra,0001,0001
0439,Colombia,March 15th  2014,pitalito,2013,Caturra,0001,0003
0440,Colombia,October 23rd  2013,huila,2012,Caturra,0001,0001
0441,Mexico,July 26th  2013,coatepec,2012,Typica,0001,0001
0442,Mexico,July 26th  2013,atoyac de alvarez,2012,Typica,0001,0005
0443,Mexico,July 11th  2013,coatepec,2012,Bourbon,0001,0001
0444,Colombia,May 22nd  2013,NA,2012,Arusha,0001,0003
0445,Colombia,May 11th  2013,huila,2012,Caturra,0001,0001
0446,Guatemala,April 27th  2013,la reforma  san marcos,2012,Bourbon,0001,0001
0447,Colombia,December 1st  2012,la plata,2011,Caturra,0001,0001
0448,Colombia,May 11th  2012,cauca,2011,NA,0001,0002
0449,United States (Hawaii),March 8th  2012,NA,NA,NA,0001,0002
0450,Colombia,February 1st  2012,huila,2011,NA,0001,0002
0451,Nicaragua,May 31st  2011,matagalpa,2009,Caturra,0001,0002
0452,Thailand,April 13th  2011,NA,NA,NA,0001,0002
0453,El Salvador,August 28th  2018,apaneca,2017,Bourbon,0001,0001
0454,Colombia,July 7th  2018,guayata,2017,Caturra,0001,0001
0455,Taiwan,June 28th  2017,dongshan dist.  tainan city 臺南市東山區,2016,Caturra,0001,0003
0456,Ethiopia,February 25th  2017,blida kercha guji oromia,2016,Ethiopian Heirlooms,0001,0001
0457,Taiwan,September 6th  2016,台東太麻里,2014,Typica,0001,0003
0458,Philippines,July 30th  2016,bukidnon  mindanao  philppines,2015,Other,0001,0001
0459,Philippines,July 20th  2016,asia pacific,2014,Other,0001,0001
0460,Mexico,June 10th  2016,chiapas,2015,Bourbon,0001,0001
0461,Brazil,August 15th  2015,cerrado,2014,Moka Peaberry,0001,0005
0462,Uganda,June 27th  2015,west nile,2013,SL14,0001,0001
0463,Guatemala,April 3rd  2015,antigua,2014,Bourbon,0001,0001
0464,Guatemala,March 7th  2015,antigua,2014,Caturra,0001,0003
0465,Guatemala,December 27th  2014,NA,2012,NA,0001,0001
0466,Colombia,September 13th  2014,huila,2013,Caturra,0001,0001
0467,Colombia,March 20th  2014,huila,2013,Caturra,0001,0003
0468,Guatemala,March 11th  2014,huehuetenango,2013,Bourbon,0001,0001
0469,Colombia,January 22nd  2014,antioquia,2013,Other,0001,0001
0470,Mexico,July 26th  2013,petatlan,2012,Typica,0001,0003
0471,Vietnam,July 20th  2013,don duong,2012,Other,0001,0003
0472,Mexico,March 5th  2013,la cumbre,2012,Typica,0001,0001
0473,Colombia,July 18th  2012,cauca,2011,NA,0001,0002
0474,Kenya,October 13th  2018,nyeri,2017,SL28,0001,0001
0475,Guatemala,June 22nd  2018,san marcos,2017,Bourbon,0001,0001
0476,Brazil,February 6th  2018,south of minas,2015,Yellow Bourbon,0001,0004
0477,El Salvador,April 8th  2017,el balsamo  quezaltepec,2016,Pacas,0001,0001
0478,Rwanda,March 25th  2017,gicumbi,2015,Bourbon,0001,0001
0479,Vietnam,January 18th  2017,vietnam tutra,2014,Other,0001,0006
0480,Guatemala,July 19th  2016,oriente,2015,Bourbon,0001,0001
0481,Brazil,May 25th  2016,cerrado,2015,Catuai,0001,0003
0482,Colombia,March 20th  2016,huila,2014,Other,0001,0001
0483,United States,February 20th  2016,berastagi,2014,Other,0001,0006
0484,Guatemala,March 24th  2015,antigua,2014,Bourbon,0001,0001
0485,Colombia,January 20th  2015,santander,2013,Typica,0001,0003
0486,Colombia,May 10th  2014,huila,2013,Caturra,0001,0001
0487,Tanzania  United Republic Of,April 19th  2014,arusha,2012,Arusha,0001,0001
0488,Mexico,August 30th  2013,la concordia,2012,Caturra,0001,0001
0489,Mexico,July 11th  2013,veracruz,2012,Bourbon,0001,0001
0490,Guatemala,January 9th  2019,santa rosa,NA,Caturra,0001,0001
0491,Guatemala,October 17th  2018,santa rosa,2017,Caturra,0001,0001
0492,Guatemala,September 19th  2018,san marcos,2017,Bourbon,0001,0001
0493,Guatemala,September 8th  2018,santa rosa,2017,Bourbon,0001,0001
0494,Guatemala,August 22nd  2018,oriente,2017,Bourbon,0001,0001
0495,Indonesia,August 8th  2018,sapan toraja,2017,Sulawesi,0001,0006
0496,Guatemala,June 1st  2018,el progreso,2017,Bourbon,0001,0001
0497,Taiwan,June 1st  2018,台南市東山區( dongshan dist.  tainan city),2016,Yellow Bourbon,0001,0003
0498,El Salvador,May 8th  2018,cacahuatique,2017,Bourbon,0001,0001
0499,Costa Rica,April 28th  2018,tarrazu,2016,Caturra,0001,0001
0500,Honduras,April 6th  2018,comayagua,2017,Caturra,0001,0003
0501,China,April 5th  2017,menglian,2015,Catimor,0001,0001
0502,Colombia,November 7th  2015,huila,2014,Caturra,0001,0001
0503,Malawi,November 4th  2015,mzuzu,2014,Gesha,0001,0001
0504,Guatemala,June 16th  2015,jalapa,2014,Pacas,0001,0001
0505,Colombia,May 27th  2015,huila,2014,Typica,0001,0001
0506,United States (Hawaii),February 5th  2015,kona,2013,Hawaiian Kona,0001,0003
0507,United States (Hawaii),February 4th  2015,kona,2013,Hawaiian Kona,0001,0003
0508,Colombia,January 21st  2015,antioquia,2013,Caturra,0001,0001
0509,Mexico,July 11th  2013,veracruz,2012,Typica,0001,0001
0510,Mexico,June 6th  2013,atoyac de alvarez,2012,Typica,0001,0003
0511,Colombia,April 11th  2013,south huila,2012,Caturra,0001,0001
0512,Colombia,March 5th  2013,huila,2012,Caturra,0001,0001
0513,Panama,February 22nd  2013,boquete,2012,Catuai,0001,0001
0514,Laos,June 2nd  2017,paksong laos,2015,Catimor,0001,0001
0515,El Salvador,March 29th  2017,el balsamo  quezaltepec,2016,Pacas,0001,0001
0516,Mexico,February 24th  2017,veracruz,2016,NA,0001,0002
0517,Colombia,November 2nd  2016,huila,2015,NA,0001,0001
0518,Brazil,January 15th  2016,monte carmelo,2014,Catuai,0001,0003
0519,Tanzania  United Republic Of,December 18th  2015,karatu arusha,2014,Other,0001,0001
0520,Tanzania  United Republic Of,December 15th  2015,mbinga,2014,Bourbon,0001,0001
0521,Mexico,August 15th  2015,la yerba,2014,Typica,0001,0003
0522,Uganda,June 25th  2015,mt elgon,2013,SL14,0001,0001
0523,Taiwan,December 26th  2014,chiayi alishan 嘉義縣阿里山鄉,2013,Typica,0001,0001
0524,Thailand,September 3rd  2014,phahi,2013,Caturra,0001,0001
0525,Colombia,January 22nd  2014,huila,2012,Caturra,0001,0001
0526,El Salvador,August 17th  2013,NA,2012,Other,0001,0001
0527,Guatemala,July 17th  2013,antigua,2012,Caturra,0001,0001
0528,Thailand,June 13th  2013,thailand,2012,Other,0001,0001
0529,Mexico,June 6th  2013,NA,2012,Other,0001,0001
0530,Mexico,June 6th  2013,mahuixtlan,2012,Typica,0001,0001
0531,Colombia,November 15th  2012,52 narino,2011,NA,0001,0002
0532,Mexico,April 5th  2012,mexico,2010,Blue Mountain,0001,0002
0533,Colombia,February 9th  2012,huila,2010,NA,0001,0002
0534,Colombia,September 3rd  2011,NA,2009,NA,0001,0002
0535,Guatemala,September 8th  2018,oriente,2017,Bourbon,0001,0001
0536,Taiwan,August 22nd  2018,國姓鄉 guoshing township,2016,Typica,0001,0004
0537,Brazil,April 19th  2018,south of minas,2016,NA,0001,0004
0538,Taiwan,February 13th  2018,changhua baguashan 彰化市八卦山,2016,NA,0001,0002
0539,Brazil,December 27th  2016,campos altos - cerrado,2016,NA,0001,0002
0540,Indonesia,September 14th  2016,aceh,2015,Typica,0001,0005
0541,Thailand,February 15th  2016,chiangrai,2014,Caturra,0001,0001
0542,Tanzania  United Republic Of,December 12th  2015,ikand village,2014,Other,0001,0001
0543,Costa Rica,May 9th  2015,central valley,2013,Catuai,0001,0001
0544,Mexico,April 18th  2015,veracruz,2014,NA,0001,0001
0545,Guatemala,December 10th  2014,NA,2012,NA,0001,0003
0546,Colombia,April 16th  2014,huila,2013,Caturra,0001,0001
0547,Colombia,February 27th  2014,huila,2013,Caturra,0001,0001
0548,Mexico,September 4th  2013,oaxaca,2012,Typica,0001,0001
0549,Mexico,July 2nd  2013,colima,2012,Typica,0001,0001
0550,Colombia,June 13th  2013,huila,2012,Caturra,0001,0001
0551,Brazil,October 27th  2012,south of minas,2011,Mundo Novo,0001,0002
0552,Indonesia,September 4th  2018,bali,2017,Other,0001,0001
0553,Honduras,June 3rd  2018,comayagua,2017,Caturra,0001,0001
0554,Tanzania  United Republic Of,December 12th  2015,moshi,2014,Other,0001,0001
0555,Mexico,April 14th  2015,chiapas,2013,Other,0001,0001
0556,Brazil,January 14th  2015,south of minas,2013,Yellow Bourbon,0001,0005
0557,Colombia,May 7th  2014,huila,2013,Caturra,0001,0001
0558,Mexico,September 27th  2013,san bartolo tutotepec,2012,Typica,0001,0001
0559,Mexico,July 26th  2013,zapotitlan de mendez,2012,Typica,0001,0001
0560,Mexico,June 7th  2013,la concordia,2012,Typica,0001,0005
0561,Guatemala,March 26th  2013,oriente,2012,Caturra,0001,0003
0562,Brazil,March 16th  2013,carmo de minas,2012,Bourbon,0001,0005
0563,Guatemala,July 23rd  2011,huehuetenango,NA,NA,0001,0002
0564,Honduras,September 27th  2018,comayagua  honduras,2017,Other,0001,0001
0565,Guatemala,September 8th  2018,san marcos,2017,Bourbon,0001,0001
0566,Guatemala,June 1st  2018,san marcos,2016,Bourbon,0001,0001
0567,Guatemala,January 20th  2018,santa rosa,2017,Caturra,0001,0001
0568,Colombia,August 5th  2017,guayata,2016,Caturra,0001,0001
0569,Tanzania  United Republic Of,November 15th  2016,arusha meru,2015,Ruiru 11,0001,0001
0570,Mexico,August 14th  2015,la yerba,2014,Typica,0001,0001
0571,Brazil,May 8th  2015,south of minas,2012,Catuai,0001,0005
0572,Peru,January 21st  2015,peru,2013,NA,0001,0001
0573,Brazil,December 30th  2014,south of minas,2013,Yellow Bourbon,0001,0003
0574,Mexico,December 12th  2014,veracruz,2013,Bourbon,0001,0001
0575,Honduras,December 10th  2014,NA,2012,NA,0001,0001
0576,Colombia,May 31st  2014,huila,2013,Caturra,0001,0001
0577,Mexico,September 10th  2013,coatepec,2012,Typica,0001,0001
0578,Mexico,August 31st  2013,xalapa,2012,Caturra,0001,0001
0579,Mexico,July 25th  2013,zihuatanejo de azueta,2012,Typica,0001,0001
0580,Mexico,July 11th  2013,veracruz,2012,Pacamara,0001,0001
0581,Mexico,July 3rd  2013,xicotepec de juarez,2012,Caturra,0001,0001
0582,Mexico,June 6th  2013,progreso santa rosa teocelo,2012,Bourbon,0001,0001
0583,Mexico,April 9th  2013,fln mirador,2012,Typica,0001,0001
0584,Colombia,January 30th  2013,huila,2012,Caturra,0001,0003
0585,Brazil,January 22nd  2013,south of minas,2012,Arusha,0001,0003
0586,Colombia,December 21st  2012,huila,2011,Caturra,0001,0001
0587,Colombia,September 21st  2012,huila,2011,NA,0001,0002
0588,Honduras,April 6th  2018,comayagua,2017,Caturra,0001,0001
0589,Brazil,February 9th  2018,cerrado,2016,Catuai,0001,0003
0590,Brazil,October 13th  2017,cerrado,2016,NA,0001,0003
0591,Costa Rica,July 15th  2017,tarrazu,2015,Caturra,0001,0001
0592,Costa Rica,May 17th  2017,tarrazu,2015,Catuai,0001,0001
0593,China,April 5th  2017,xishuangbanna prefecture,2015,Catimor,0001,0004
0594,Brazil,October 7th  2016,south of minas,2015,Bourbon,0001,0003
0595,Guatemala,March 9th  2016,huehuetenango,2015,Bourbon,0001,0001
0596,Brazil,October 15th  2015,south of minas,2014,Bourbon,0001,0003
0597,Guatemala,June 10th  2015,jalapa,2014,Pacas,0001,0001
0598,Mexico,April 2nd  2015,veracruz,2014,NA,0001,0001
0599,Taiwan,December 26th  2014,changhua baguashan 彰化市八卦山,2013,Typica,0001,0005
0600,Colombia,June 21st  2014,huila,2013,Caturra,0001,0001
0601,Mexico,March 15th  2014,la concordia  chiapas,2013,Typica,0001,0001
0602,Costa Rica,October 9th  2013,central valley,2012,NA,0001,0001
0603,Guatemala,October 5th  2013,jalapa,2012,Bourbon,0001,0001
0604,Mexico,September 27th  2013,jaltocan  hidalgo,2012,Typica,0001,0003
0605,Mexico,August 31st  2013,veracruz,2012,Bourbon,0001,0001
0606,Guatemala,May 23rd  2013,oriente,2012,Bourbon,0001,0001
0607,Brazil,April 11th  2013,grama valley,2012,Mundo Novo,0001,0003
0608,Mexico,March 5th  2013,santa catarina juquila,2012,Typica,0001,0001
0609,Brazil,February 16th  2013,south of minas,2012,Mundo Novo,0001,0001
0610,Brazil,November 15th  2018,brazil matas de minas,NA,Catuai,0001,0001
0611,Guatemala,August 31st  2017,nuevo oriente,2016,Pacas,0001,0001
0612,El Salvador,July 7th  2016,apaneca,2014,Bourbon,0001,0001
0613,Honduras,April 14th  2016,marcala,2015,Catuai,0001,0001
0614,Brazil,October 16th  2015,south of minas,2014,Bourbon,0001,0003
0615,Taiwan,December 26th  2014,nantou,2013,Typica,0001,0001
0616,Mexico,July 19th  2014,veracruz,2013,Mundo Novo,0001,0001
0617,United States (Hawaii),May 3rd  2014,kona,2013,Hawaiian Kona,0001,0003
0618,Mexico,September 27th  2013,calnali  hidalgo,2012,Bourbon,0001,0001
0619,Guatemala,September 19th  2013,antigua,2012,Bourbon,0001,0001
0620,Mexico,August 30th  2013,juquila,2012,Typica,0001,0001
0621,El Salvador,August 21st  2013,NA,2012,Other,0001,0001
0622,Mexico,April 2nd  2013,canoas,2012,Typica,0001,0001
0623,Brazil,January 22nd  2013,NA,2012,Arusha,0001,0003
0624,Colombia,February 29th  2012,cauca,NA,NA,0001,0002
0625,Honduras,June 9th  2017,comayagua,2015,Caturra,0001,0001
0626,Nicaragua,March 15th  2017,jinotega,NA,NA,0001,0002
0627,Tanzania  United Republic Of,November 15th  2016,ruvuma,2015,Bourbon,0001,0001
0628,Tanzania  United Republic Of,October 19th  2016,northern,2015,Other,0001,0001
0629,Guatemala,March 20th  2016,atitlan,2014,Bourbon,0001,0001
0630,Brazil,January 15th  2016,cerrado,2014,Mundo Novo,0001,0003
0631,Tanzania  United Republic Of,December 15th  2015,ilomba vilage  mbozi,2014,Other,0001,0001
0632,Mexico,April 10th  2015,la concordia  chiapas,2013,Other,0001,0001
0633,Taiwan,December 26th  2014,yunlin 雲林縣石壁,2013,Typica,0001,0006
0634,Taiwan,May 29th  2014,dongshan dist.  tainan city 臺南市東山區,2012,Typica,0001,0001
0635,Colombia,March 20th  2014,huila,2013,Caturra,0001,0001
0636,Guatemala,August 2nd  2013,oriente,2012,Caturra,0001,0001
0637,Mexico,July 11th  2013,altotonga,2012,Typica,0001,0001
0638,Indonesia,August 3rd  2018,aceh gayo,2017,Bourbon,0001,0001
0639,Costa Rica,April 9th  2016,tres rios,2015,Caturra,0001,0001
0640,Tanzania  United Republic Of,March 24th  2016,kilimanjaro,2014,Bourbon,0001,0001
0641,Tanzania  United Republic Of,January 8th  2016,ngorogoro,2014,Other,0001,0001
0642,Colombia,September 12th  2015,NA,2013,NA,0001,0001
0643,Costa Rica,March 21st  2015,turrialba,2013,Caturra,0001,0001
0644,United States (Hawaii),November 26th  2013,kona,2012,Hawaiian Kona,0001,0003
0645,Mexico,August 30th  2013,tapachula,2012,Typica,0001,0001
0646,Vietnam,July 23rd  2013,don duong,2012,Other,0001,0003
0647,Colombia,April 17th  2012,cauca,2011,NA,0001,0002
0648,Honduras,June 1st  2018,el paraíso,2017,Caturra,0001,0001
0649,Honduras,April 6th  2018,guinope el paraíso,2016,Caturra,0001,0003
0650,Tanzania  United Republic Of,November 15th  2016,kilimanjaro,2015,Other,0001,0001
0651,Laos,November 4th  2016,lao p.d.r.,2015,Other,0001,0001
0652,Tanzania  United Republic Of,December 18th  2015,meru,2014,Other,0001,0001
0653,Malawi,October 31st  2015,mzuzu,2014,Gesha,0001,0001
0654,Taiwan,July 22nd  2015,dongshan dist.  tainan city 臺南市東山區,2013,Typica,0001,0001
0655,Thailand,June 20th  2015,thailand,2013,NA,0001,0001
0656,Honduras,April 30th  2015,occidental,2014,Caturra,0001,0001
0657,Taiwan,June 3rd  2014,dongshan dist.  tainan city 臺南市東山區,2012,Typica,0001,0001
0658,Brazil,May 21st  2014,minas gerais  br,2012,Mundo Novo,0001,0003
0659,Mexico,July 11th  2013,coscomatepec,2012,Typica,0001,0001
0660,Brazil,June 4th  2013,south of minas,2012,Mundo Novo,0001,0003
0661,Brazil,April 11th  2013,cerrado,2012,Catuai,0001,0005
0662,Guatemala,March 26th  2013,san marcos,2012,Bourbon,0001,0003
0663,Brazil,February 16th  2013,south of minas,2012,Mundo Novo,0001,0005
0664,Guatemala,June 22nd  2018,santa rosa,2017,Bourbon,0001,0001
0665,Honduras,June 1st  2018,comayagua,2017,Caturra,0001,0001
0666,Brazil,October 26th  2017,monte carmelo,2016,Catuai,0001,0003
0667,El Salvador,May 4th  2016,el balsamo  quezaltepec,2014,Bourbon,0001,0001
0668,Guatemala,April 19th  2016,nuevo oriente,2015,Catuai,0001,0001
0669,Tanzania  United Republic Of,January 6th  2016,mbeya,2014,Other,0001,0001
0670,Nicaragua,July 29th  2015,NA,2013,NA,0001,0001
0671,Zambia,June 20th  2015,mubuyu estate,2014,SL28,0001,0001
0672,Honduras,January 17th  2015,NA,2012,NA,0001,0001
0673,Taiwan,December 26th  2014,taichung xinshe 台中市新社區,2012,Typica,0001,0006
0674,Mexico,September 27th  2013,chapulhuacan  hidalgo,2012,Typica,0001,0005
0675,Mexico,September 27th  2013,huazalingo  hidalgo,2012,Mundo Novo,0001,0001
0676,Mexico,July 11th  2013,veracruz,2012,Other,0001,0001
0677,Mexico,July 11th  2013,fortín de las flores,2012,Bourbon,0001,0001
0678,Colombia,February 1st  2012,cundinamarca,2010,NA,0001,0002
0679,Costa Rica,February 13th  2018,tarrazu,2016,Catuai,0001,0004
0680,Brazil,January 20th  2018,monte carmelo,2016,Mundo Novo,0001,0003
0681,Indonesia,January 19th  2018,bali,2015,Other,0001,0006
0682,Guatemala,August 2nd  2017,norte,2015,Bourbon,0001,0001
0683,Myanmar,July 16th  2016,ywar ngan,2015,Catuai,0001,0001
0684,Mexico,June 24th  2016,chiapas,2015,Catuai,0001,0001
0685,Honduras,May 11th  2016,marcala,2015,Catuai,0001,0001
0686,Costa Rica,May 6th  2016,tres rios,2015,Caturra,0001,0001
0687,Indonesia,March 20th  2016,lington nihuta,2014,Typica,0001,0006
0688,Malawi,October 31st  2015,kakoma,2014,Gesha,0001,0001
0689,Honduras,May 16th  2015,comayagua,2014,Caturra,0001,0003
0690,Mexico,April 26th  2015,siltepec el triunfo  chiapas  mexico,2014,Typica,0001,0001
0691,United States (Hawaii),March 6th  2014,kona,2012,Hawaiian Kona,0001,0003
0692,Brazil,March 2nd  2014,sul de minas,2012,Bourbon,0001,0005
0693,Brazil,October 27th  2012,cerrado,2011,Mundo Novo,0001,0002
0694,United States (Hawaii),May 24th  2011,kona,NA,NA,0001,0002
0695,Vietnam,December 20th  2016,vietnam,2014,Caturra,0001,0001
0696,Brazil,August 25th  2015,NA,2013,NA,0001,0003
0697,Mexico,September 27th  2013,tenango de doria  hidalgo,2012,Bourbon,0001,0001
0698,Mexico,September 10th  2013,tepictla,2012,Mundo Novo,0001,0001
0699,Colombia,October 3rd  2012,huila,,NA,0001,0002
0700,Guatemala,August 22nd  2018,san marcos,2017,Bourbon,0001,0001
0701,Guatemala,June 5th  2018,santa rosa,2017,Bourbon,0001,0001
0702,Tanzania  United Republic Of,April 27th  2017,mbinga,2016,NA,0001,0002
0703,Nicaragua,March 11th  2017,jinotega,NA,NA,0001,0002
0704,Tanzania  United Republic Of,January 2nd  2016,mbinga,2014,Other,0001,0001
0705,Tanzania  United Republic Of,December 15th  2015,ilomba vilage  mbozi,2013,Other,0001,0001
0706,Indonesia,May 23rd  2015,bener meriah,2013,Sumatra,0001,0005
0707,Costa Rica,April 26th  2015,tarrazu,2013,Caturra,0001,0001
0708,Mexico,March 29th  2014,la concordia  chiapas,2013,Typica,0001,0001
0709,Mexico,September 11th  2013,tuxtla gutierrez,2012,Typica,0001,0001
0710,Mexico,August 30th  2013,yajalon,2012,Bourbon,0001,0001
0711,Mexico,July 27th  2013,veracruz,2012,Bourbon,0001,0001
0712,Mexico,February 28th  2013,sacún palma  municipio de chilón  chiapas,2012,Caturra,0001,0005
0713,United States (Hawaii),February 7th  2013,kona,2012,Hawaiian Kona,0001,0001
0714,Honduras,January 19th  2019,western region,2018,Catimor,0001,0001
0715,Guatemala,June 1st  2018,huehuetenango,2017,Bourbon,0001,0001
0716,Taiwan,July 15th  2017,natou county,2016,Typica,0001,0001
0717,Costa Rica,February 3rd  2016,turrialba,2015,Caturra,0001,0001
0718,Tanzania  United Republic Of,December 18th  2015,oldeani   mongola,2014,Other,0001,0001
0719,Taiwan,August 25th  2015,natou county,2014,Typica,0001,0005
0720,Brazil,November 6th  2014,south of minas,2013,Yellow Bourbon,0001,0001
0721,Mexico,June 6th  2013,la concordia,2012,Marigojipe,0001,0003
0722,Mexico,June 6th  2013,la concordia,2012,Typica,0001,0003
0723,Thailand,November 15th  2012,doi chaang village  chiang rai  thialand,2011,NA,0001,0002
0724,Costa Rica,June 13th  2012,tarrazu,NA,NA,0001,0002
0725,Guatemala,August 23rd  2018,santa rosa,2017,Bourbon,0001,0001
0726,Nicaragua,June 20th  2018,jalapa,2017,Caturra,0001,0006
0727,Guatemala,June 1st  2018,santa rosa,2017,Bourbon,0001,0002
0728,Taiwan,September 16th  2016,古坑鄉荷包村尖山坑60號,2015,Typica,0001,0003
0729,Myanmar,July 16th  2016,ywar ngan township,2015,Catuai,0001,0001
0730,Costa Rica,January 7th  2016,occidental,2014,Caturra,0001,0001
0731,Guatemala,September 23rd  2015,oriente,2014,Other,0001,0001
0732,Taiwan,August 18th  2015,natou county,2014,Typica,0001,0001
0733,Brazil,July 29th  2015,sul de minas,2014,Yellow Bourbon,0001,0005
0734,Haiti,May 5th  2015,dondon  haiti,2013,Blue Mountain,0001,0001
0735,Mexico,March 11th  2014,la concordia  chiapas,2013,Typica,0001,0001
0736,Mexico,August 30th  2013,amatenango de la frontera,2012,Typica,0001,0001
0737,Mexico,August 29th  2013,temaxcalapa,2012,Catuai,0001,0001
0738,Mexico,August 1st  2013,manzanillo,2012,Typica,0001,0005
0739,Mexico,July 26th  2013,tapachula,2012,Bourbon,0001,0001
0740,Mexico,July 26th  2013,atoyac de alvarez,2012,Typica,0001,0003
0741,Indonesia,May 24th  2013,ijen,2012,Other,0001,0001
0742,Brazil,April 12th  2013,sul de minas,2012,Bourbon,0001,0005
0743,Guatemala,January 24th  2013,oriente,2012,Bourbon,0001,0001
0744,Colombia,September 6th  2012,cauca,2011,NA,0001,0002
0745,Mexico,May 12th  2018,veracruz,2017,Mundo Novo,0001,0001
0746,Guatemala,March 17th  2017,san marcos,2016,Catuai,0001,0001
0747,Brazil,December 2nd  2016,cerrado,2015,Catuai,0001,0003
0748,Taiwan,November 23rd  2015,苗栗三灣,2014,Typica,0001,0001
0749,Brazil,October 17th  2015,south of minas,2014,Bourbon,0001,0003
0750,Guatemala,May 26th  2015,san lucas toliman  solola,2014,Bourbon,0001,0001
0751,Mexico,May 1st  2015,siltepec el triunfo,2014,Typica,0001,0001
0752,Peru,February 27th  2015,puno,2013,NA,0001,0001
0753,Guatemala,October 7th  2014,oriente,2013,Bourbon,0001,0001
0754,Mexico,September 27th  2013,huazalingo  hidalgo,2012,Caturra,0001,0001
0755,Mexico,June 6th  2013,coatepec  coatepec,2012,Typica,0001,0001
0756,Colombia,November 10th  2012,huila,2011,Caturra,0001,0003
